fileName,originalUrl,sizeBytes
"065_6718dbc53109a762d51ba313_6a1ebca47f92bacabd1e8c204823b890_Fynd TMS.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba313_6a1ebca47f92bacabd1e8c204823b890_Fynd%20TMS.svg",2231
"066_6718dbc53109a762d51ba317_Zenith.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba317_Zenith.svg",2472
"067_6718dbc53109a762d51ba32b_1705ac8d40ee408f6f1a3956bfb841b9_Pixelbin.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba32b_1705ac8d40ee408f6f1a3956bfb841b9_Pixelbin.svg",2233
"068_6718dbc53109a762d51ba34b_0a7c62c65886f8405740ffeda55f4baf_GlamAR.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba34b_0a7c62c65886f8405740ffeda55f4baf_GlamAR.svg",1951
"069_6718dbc53109a762d51ba36f_7e103aecb613a6fc38a3a013342bccb6_Boltic.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba36f_7e103aecb613a6fc38a3a013342bccb6_Boltic.svg",1140
"070_6718dbc53109a762d51ba3c6_Fynd Documentation.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba3c6_Fynd%20Documentation.png",73281
"071_6718dbc53109a762d51ba3c6_Fynd%20Documentation-p-1080.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba3c6_Fynd%2520Documentation-p-1080.png",33695
"072_6718dbc53109a762d51ba3c6_Fynd%20Documentation-p-500.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba3c6_Fynd%2520Documentation-p-500.png",13749
"073_6718dbc53109a762d51ba3c6_Fynd%20Documentation-p-800.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc53109a762d51ba3c6_Fynd%2520Documentation-p-800.png",23437
"074_6718dbc63109a762d51ba3ea_Partner portal.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc63109a762d51ba3ea_Partner%20portal.svg",6407
"075_6718dbc63109a762d51ba3f5_Fynd Community.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc63109a762d51ba3f5_Fynd%20Community.svg",7963
"076_6718dbc63109a762d51ba41b_ccd46e8cc29bcdae69d73853f49585a2_CoPilot.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6718dbc63109a762d51ba41b_ccd46e8cc29bcdae69d73853f49585a2_CoPilot.svg",3048
"077_672c5439b6bcb7e0f17fc66b_38d90d29873ce70566280edb44ec5a95_Gauze.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/672c5439b6bcb7e0f17fc66b_38d90d29873ce70566280edb44ec5a95_Gauze.svg",3766
"078_6839cf47a701531a0637a36a_PIM.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6839cf47a701531a0637a36a_PIM.svg",2100
"079_6839cf5df0622f781a4c1e78_Konnect.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6839cf5df0622f781a4c1e78_Konnect.svg",1689
"080_6839cf75ac9ba3c7b1838b56_Engage.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6839cf75ac9ba3c7b1838b56_Engage.svg",2019
"081_6839cf870b7ec83ab0e03b6e_Partners.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6839cf870b7ec83ab0e03b6e_Partners.svg",2982
"082_6839cfb7955ca1f70cadbe8b_WMS.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6839cfb7955ca1f70cadbe8b_WMS.svg",1499
"083_69391de66cc2277da8b12654_Logo_icon.avif","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69391de66cc2277da8b12654_Logo_icon.avif",2657
"084_69391de66cc2277da8b12658_Vector.avif","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69391de66cc2277da8b12658_Vector.avif",424
"085_69391de66cc2277da8b1265a_Roundel.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69391de66cc2277da8b1265a_Roundel.svg",25408
"086_69391de66cc2277da8b1265b_fb2b10a26add41e7add654b0317df382ef05a909.webp","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69391de66cc2277da8b1265b_fb2b10a26add41e7add654b0317df382ef05a909.webp",13876
"087_69391de66cc2277da8b1265f_009c7f35fce44cf51691d436f8d5e365880aa097-p-1080.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69391de66cc2277da8b1265f_009c7f35fce44cf51691d436f8d5e365880aa097-p-1080.png",76657
"088_69391de66cc2277da8b1265f_009c7f35fce44cf51691d436f8d5e365880aa097-p-500.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69391de66cc2277da8b1265f_009c7f35fce44cf51691d436f8d5e365880aa097-p-500.png",30209
"089_69391de66cc2277da8b1265f_009c7f35fce44cf51691d436f8d5e365880aa097-p-800.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69391de66cc2277da8b1265f_009c7f35fce44cf51691d436f8d5e365880aa097-p-800.png",52465
"090_69391de66cc2277da8b1265f_009c7f35fce44cf51691d436f8d5e365880aa097.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69391de66cc2277da8b1265f_009c7f35fce44cf51691d436f8d5e365880aa097.png",216541
"091_693a7b1b9c7fe8ead509a385_fynd.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/693a7b1b9c7fe8ead509a385_fynd.png",666
"092_693a7b1d8f830a8ecaa52bf2_webclip.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/693a7b1d8f830a8ecaa52bf2_webclip.png",4918
"093_693bb3265250096d24418380_StoreOS.svg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/693bb3265250096d24418380_StoreOS.svg",943
"094_69707f85a858512770829f80_f18fb70fd460cead7be2e375cacb3ebf_open-image.jpg","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/69707f85a858512770829f80_f18fb70fd460cead7be2e375cacb3ebf_open-image.jpg",82639
"095_6a1d2aa8985611af07cb2291_ChatGPT Image Jun 1, 2026, 12_15_38 PM-p-1080.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6a1d2aa8985611af07cb2291_ChatGPT%20Image%20Jun%201%2C%202026%2C%2012_15_38%20PM-p-1080.png",440294
"096_6a1d2aa8985611af07cb2291_ChatGPT Image Jun 1, 2026, 12_15_38 PM-p-500.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6a1d2aa8985611af07cb2291_ChatGPT%20Image%20Jun%201%2C%202026%2C%2012_15_38%20PM-p-500.png",112691
"097_6a1d2aa8985611af07cb2291_ChatGPT Image Jun 1, 2026, 12_15_38 PM-p-800.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6a1d2aa8985611af07cb2291_ChatGPT%20Image%20Jun%201%2C%202026%2C%2012_15_38%20PM-p-800.png",265733
"098_6a1d2aa8985611af07cb2291_ChatGPT Image Jun 1, 2026, 12_15_38 PM.png","https://cdn.prod.website-files.com/6707a25bc42f5c6db4cbfdc3/6a1d2aa8985611af07cb2291_ChatGPT%20Image%20Jun%201%2C%202026%2C%2012_15_38%20PM.png",722603
"099_67c05232e4860e3c43444560_Logo_icon.avif","https://cdn.prod.website-files.com/6828583ea6a54fddda954c46/67c05232e4860e3c43444560_Logo_icon.avif",2657
"100_67c05232e4860e3c43444564_Vector.avif","https://cdn.prod.website-files.com/6828583ea6a54fddda954c46/67c05232e4860e3c43444564_Vector.avif",424
"101_67dd36307662f57e7245abff_Roundel.svg","https://cdn.prod.website-files.com/6828583ea6a54fddda954c46/67dd36307662f57e7245abff_Roundel.svg",25408
"102_6823275f8cde687f82022461_fb2b10a26add41e7add654b0317df382ef05a909.webp","https://cdn.prod.website-files.com/6828583ea6a54fddda954c46/6823275f8cde687f82022461_fb2b10a26add41e7add654b0317df382ef05a909.webp",13876
"103_6825ec9415021b2716434ab9_009c7f35fce44cf51691d436f8d5e365880aa097.png","https://cdn.prod.website-files.com/6828583ea6a54fddda954c46/6825ec9415021b2716434ab9_009c7f35fce44cf51691d436f8d5e365880aa097.png",216541
